overlap_group,n_pairs,n_queries,method,block_mrr,doc_mrr,doc_hit@10
full,62,62,tfidf,0.9592933947772657,0.9592933947772657,1.0
full,62,62,hybrid_fallback,0.9592933947772657,0.9592933947772657,1.0
full,62,62,hybrid_weighted,0.9561827956989247,0.956221198156682,0.9838709677419355
full,62,62,hybrid_interleave,0.9533912324234906,0.9533912324234906,0.9838709677419355
full,62,62,bert,0.828321473622644,0.8328818869650375,0.967741935483871
none,318,36,bert,0.019639422845230278,0.020900495286513845,0.027777777777777776
none,318,36,hybrid_interleave,0.011145208304696083,0.011905312046685528,0.0
none,318,36,hybrid_weighted,0.006613812849246915,0.007275719880342237,0.0
none,318,36,tfidf,0.0009541948154301642,0.001247855910615751,0.0
none,318,36,hybrid_fallback,0.0009541948154301642,0.001247855910615751,0.0
partial,2011,57,bert,0.6589820434447454,0.7285099043651223,0.9122807017543859
partial,2011,57,hybrid_interleave,0.6011063614854537,0.6218167361519162,0.9473684210526315
partial,2011,57,hybrid_weighted,0.5682821433995995,0.5857842767453751,0.9122807017543859
partial,2011,57,tfidf,0.5496281983124088,0.5522578615341773,0.8421052631578947
partial,2011,57,hybrid_fallback,0.5496281983124088,0.5522578615341773,0.8421052631578947
