query_id,doc_id,block_id,query_source,overlap,overlap_group
1,1281,1281_b000,cisi,0.14285714285714285,partial
1,650,650_b000,cisi,0.07142857142857142,partial
1,1162,1162_b000,cisi,0.07142857142857142,partial
1,524,524_b000,cisi,0.07142857142857142,partial
1,269,269_b000,cisi,0.07142857142857142,partial
1,1164,1164_b000,cisi,0.07142857142857142,partial
1,783,783_b000,cisi,0.0,none
1,894,894_b000,cisi,0.07142857142857142,partial
1,150,150_b000,cisi,0.07142857142857142,partial
1,28,28_b000,cisi,0.14285714285714285,partial
1,541,541_b000,cisi,0.07142857142857142,partial
1,35,35_b000,cisi,0.07142857142857142,partial
1,291,291_b000,cisi,0.07142857142857142,partial
1,38,38_b000,cisi,0.07142857142857142,partial
1,680,680_b000,cisi,0.07142857142857142,partial
1,42,42_b000,cisi,0.21428571428571427,partial
1,43,43_b000,cisi,0.07142857142857142,partial
1,1195,1195_b000,cisi,0.14285714285714285,partial
1,429,429_b000,cisi,0.21428571428571427,partial
1,813,813_b000,cisi,0.14285714285714285,partial
1,1196,1196_b000,cisi,0.0,none
1,52,52_b000,cisi,0.07142857142857142,partial
1,820,820_b000,cisi,0.07142857142857142,partial
1,189,189_b000,cisi,0.0,none
1,192,192_b000,cisi,0.07142857142857142,partial
1,65,65_b000,cisi,0.14285714285714285,partial
1,193,193_b000,cisi,0.07142857142857142,partial
1,195,195_b000,cisi,0.14285714285714285,partial
1,320,320_b003,cisi,0.14285714285714285,partial
1,576,576_b000,cisi,0.14285714285714285,partial
1,582,582_b000,cisi,0.14285714285714285,partial
1,711,711_b000,cisi,0.07142857142857142,partial
1,76,76_b000,cisi,0.14285714285714285,partial
1,589,589_b000,cisi,0.07142857142857142,partial
1,465,465_b000,cisi,0.14285714285714285,partial
1,466,466_b000,cisi,0.07142857142857142,partial
1,722,722_b000,cisi,0.14285714285714285,partial
1,86,86_b000,cisi,0.0,none
1,215,215_b000,cisi,0.07142857142857142,partial
1,726,726_b000,cisi,0.07142857142857142,partial
1,603,603_b000,cisi,0.07142857142857142,partial
1,482,482_b000,cisi,0.07142857142857142,partial
1,483,483_b000,cisi,0.14285714285714285,partial
1,868,868_b000,cisi,0.0,none
1,869,869_b000,cisi,0.07142857142857142,partial
1,510,510_b000,cisi,0.14285714285714285,partial
2,669,669_b000,cisi,0.08333333333333333,partial
2,29,29_b000,cisi,0.08333333333333333,partial
2,670,670_b000,cisi,0.08333333333333333,partial
2,674,674_b000,cisi,0.16666666666666666,partial
2,429,429_b000,cisi,0.16666666666666666,partial
2,690,690_b001,cisi,0.16666666666666666,partial
2,692,692_b000,cisi,0.16666666666666666,partial
2,309,309_b000,cisi,0.16666666666666666,partial
2,695,695_b000,cisi,0.08333333333333333,partial
2,700,700_b000,cisi,0.08333333333333333,partial
2,319,319_b000,cisi,0.08333333333333333,partial
